"Label (Grouping)","Davidson County, Tennessee!!Estimate","Davidson County, Tennessee!!Margin of Error"
"Total:","318,422","±3,303"
"    Less than 5 minutes","5,793","±682"
"    5 to 9 minutes","24,023","±1,076"
"    10 to 14 minutes","38,440","±1,471"
"    15 to 19 minutes","52,942","±2,021"
"    20 to 24 minutes","57,815","±2,188"
"    25 to 29 minutes","27,462","±1,577"
"    30 to 34 minutes","49,111","±1,903"
"    35 to 39 minutes","12,478","±1,170"
"    40 to 44 minutes","12,299","±1,047"
"    45 to 59 minutes","22,043","±1,464"
"    60 to 89 minutes","11,962","±1,206"
"    90 or more minutes","4,054","±597"
