"Label (Grouping)","Davidson County, Tennessee!!Estimate","Davidson County, Tennessee!!Margin of Error"
"Total:","344,056","±2,434"
"    Less than 5 minutes","6,448","±605"
"    5 to 9 minutes","24,101","±1,181"
"    10 to 14 minutes","40,706","±1,577"
"    15 to 19 minutes","59,108","±1,645"
"    20 to 24 minutes","64,648","±2,176"
"    25 to 29 minutes","28,396","±1,244"
"    30 to 34 minutes","58,868","±1,649"
"    35 to 39 minutes","10,856","±718"
"    40 to 44 minutes","11,806","±786"
"    45 to 59 minutes","22,946","±1,009"
"    60 to 89 minutes","11,597","±901"
"    90 or more minutes","4,576","±526"
