"Label (Grouping)","Davidson County, Tennessee!!Estimate","Davidson County, Tennessee!!Margin of Error"
"Total:","709,846","*****"
"    Male:","343,591","±97"
"        Under 5 years","23,447","±45"
"        5 to 9 years","20,531","±934"
"        10 to 14 years","19,513","±931"
"        15 to 17 years","11,403","±99"
"        18 and 19 years","9,095","±59"
"        20 years","3,948","±572"
"        21 years","3,955","±581"
"        22 to 24 years","15,744","±743"
"        25 to 29 years","34,214","±73"
"        30 to 34 years","34,824","±28"
"        35 to 39 years","28,317","±1,044"
"        40 to 44 years","23,044","±1,045"
"        45 to 49 years","20,250","±12"
"        50 to 54 years","19,539","±20"
"        55 to 59 years","19,903","±927"
"        60 and 61 years","7,012","±731"
"        62 to 64 years","10,074","±845"
"        65 and 66 years","6,106","±537"
"        67 to 69 years","8,382","±738"
"        70 to 74 years","11,199","±646"
"        75 to 79 years","6,913","±416"
"        80 to 84 years","3,328","±367"
"        85 years and over","2,850","±403"
"    Female:","366,255","±97"
"        Under 5 years","22,961","±38"
"        5 to 9 years","20,025","±881"
"        10 to 14 years","19,103","±882"
"        15 to 17 years","11,127","±66"
"        18 and 19 years","9,153","±45"
"        20 years","5,184","±643"
"        21 years","4,817","±689"
"        22 to 24 years","16,568","±741"
"        25 to 29 years","38,345","±67"
"        30 to 34 years","35,897","±47"
"        35 to 39 years","28,191","±1,048"
"        40 to 44 years","22,757","±1,045"
"        45 to 49 years","20,042","±23"
"        50 to 54 years","19,871","±54"
"        55 to 59 years","21,333","±878"
"        60 and 61 years","8,093","±643"
"        62 to 64 years","11,413","±966"
"        65 and 66 years","7,766","±692"
"        67 to 69 years","9,711","±636"
"        70 to 74 years","13,455","±771"
"        75 to 79 years","8,466","±621"
"        80 to 84 years","6,027","±504"
"        85 years and over","5,950","±621"
