"Label (Grouping)","Davidson County, Tennessee!!Estimate","Davidson County, Tennessee!!Margin of Error"
"Total:","638,395","*****"
"    Male:","308,794","±112"
"        Under 5 years","22,780","±70"
"        5 to 9 years","19,464","±709"
"        10 to 14 years","17,985","±704"
"        15 to 17 years","10,213","±55"
"        18 and 19 years","9,246","±81"
"        20 years","4,919","±553"
"        21 years","5,296","±526"
"        22 to 24 years","15,148","±678"
"        25 to 29 years","30,298","±55"
"        30 to 34 years","27,243","±86"
"        35 to 39 years","22,517","±840"
"        40 to 44 years","21,890","±836"
"        45 to 49 years","20,801","±59"
"        50 to 54 years","20,288","±55"
"        55 to 59 years","18,701","±575"
"        60 and 61 years","6,379","±449"
"        62 to 64 years","8,261","±623"
"        65 and 66 years","4,281","±312"
"        67 to 69 years","5,386","±328"
"        70 to 74 years","6,721","±357"
"        75 to 79 years","4,846","±269"
"        80 to 84 years","3,620","±265"
"        85 years and over","2,511","±227"
"    Female:","329,601","±112"
"        Under 5 years","22,191","±36"
"        5 to 9 years","19,910","±672"
"        10 to 14 years","16,274","±674"
"        15 to 17 years","9,793","±46"
"        18 and 19 years","9,151","±43"
"        20 years","5,290","±496"
"        21 years","5,283","±437"
"        22 to 24 years","17,027","±614"
"        25 to 29 years","32,706","±87"
"        30 to 34 years","27,455","±65"
"        35 to 39 years","22,362","±752"
"        40 to 44 years","20,956","±757"
"        45 to 49 years","21,347","±79"
"        50 to 54 years","22,297","±88"
"        55 to 59 years","20,460","±652"
"        60 and 61 years","7,615","±448"
"        62 to 64 years","9,291","±534"
"        65 and 66 years","5,246","±320"
"        67 to 69 years","5,998","±419"
"        70 to 74 years","9,283","±412"
"        75 to 79 years","7,199","±387"
"        80 to 84 years","5,887","±405"
"        85 years and over","6,580","±411"
