"Label (Grouping)","Davidson County, Tennessee!!Estimate","Davidson County, Tennessee!!Margin of Error"
"Total:","389,602","±2,735"
"    Car, truck, or van:","298,047","±3,507"
"        Drove alone","266,197","±3,525"
"        Carpooled:","31,850","±1,916"
"            In 2-person carpool","23,986","±1,593"
"            In 3-person carpool","4,788","±927"
"            In 4-person carpool","1,773","±515"
"            In 5- or 6-person carpool","896","±364"
"            In 7-or-more-person carpool","407","±318"
"    Public transportation (excluding taxicab):","6,260","±802"
"        Bus","5,954","±815"
"        Subway or elevated rail","0","±32"
"        Long-distance train or commuter rail","185","±99"
"        Light rail, streetcar or trolley (carro público in Puerto Rico)","31","±47"
"        Ferryboat","90","±90"
"    Taxicab","1,164","±264"
"    Motorcycle","140","±70"
"    Bicycle","1,180","±363"
"    Walked","7,315","±764"
"    Other means","4,316","±764"
"    Worked from home","71,180","±2,369"
