Route ID,aadt
19I006501P00000,5986192
79I004001P00000,5260300
19I004001P00000,5124886
19I002401P00000,5008390
79I024001P00000,4515894
47I004001P00000,3844586
33I007501P00000,3751388
94I006501P00000,2789373
19S015501P00000,1973008
33I002402P00000,1942542
33S015301P00000,1936897
75I002401P00000,1687030
19S000601P00000,1540832
79I005501P00000,1437877
19S000101P00000,1313386
79S038501P00000,1233641
19I044001P00000,1228697
79S005701P00000,1206373
57I004001P00000,1146866
95I004001P00000,1127516
79S001401P00000,997822
75S001001P00000,891434
47I007501P00000,840421
47S011501P00000,831664
79S000301P00000,758876
33S000801P00000,751913
75I084001P00000,751738
33S000201P00000,748809
71I004001P00000,747162
82I008101P00000,743875
79L403201P00000,742696
73I004001P00000,727150
63I002401P00000,703570
16I002401P00000,703476
74I006501P00000,701964
33I012401P00000,681800
47S003301P00000,678876
18I004001P00000,670327
19S001101P00000,649780
83S000601P00000,639666
19S025401P00000,626008
58I002401P00000,615568
47S006201P00000,583319
63S001201P00000,578563
57S000501P00000,577373
47S000101P00000,575849
75S000101P00000,557129
90I002601P00000,555971
33S005801P00000,551214
22I004001P00000,547499
19S002401P00000,543366
45I004001P00000,536525
33S002701P00000,530031
79S000401P00000,522911
79S000101P00000,511967
47I027501P00000,511473
83S038601P00000,504256
94S009602P00000,490789
06S006001P00000,489448
78S007101P00000,474699
79L281001P00000,468297
47S013101P00000,466843
78S003501P00000,466751
79L081101P00000,452683
06I007501P00000,446570
95S010901P00000,445522
53I007501P00000,443077
05S011502P00000,442999
82S000101P00000,441220
94I084001P00000,434546
95I084001P00000,433662
47S016201P00000,427222
60S000601P00000,423727
01I007501P00000,418679
19S001201P00000,413049
82I002601P00000,411949
07I007501P00000,400155
79S017501P00000,398161
19S025501P00000,390850
19S004501P00000,388273
79S001501P00000,387913
63S001301P00000,386747
94S000601P00000,384891
15I004001P00000,381546
32S003401P00000,375976
30S003401P00000,371887
57S018601P00000,371689
90S003401P00000,370590
30I008101P00000,359168
05S003301P00000,358159
33S002901P00000,357473
37S000101P00000,355774
33S031901P00000,350262
75S009601P00000,349513
95S002401P00000,347247
11I002402P00000,346682
79L287501P00000,346381
60S009901P00000,343636
54I007501P00000,342962
32I008101P00000,342770
24I004001P00000,337146
63S037401P00000,335732
83S010901P00000,331657
83I006501P00000,331644
80I004001P00000,323302
82S009301P00000,322557
84S000301P00000,315915
73S000101P00000,314427
86I002601P00000,312874
66S000301P00000,312683
05S007301P00000,312634
82S003401P00000,307298
79L281801P00000,307011
79S017601P00000,292638
47S033201P00000,292392
62S006801P00000,287392
79S017701P00000,287270
18S002801P00000,286586
94S010601P00000,274162
10S006701P00000,273517
75L573901P00000,273255
47S000901P00000,273066
95S001001P00000,265973
47I014001P00000,264910
60S039601P00000,263811
16S005501P00000,262832
95S002601P00000,257604
01S000901P00000,256582
19S010601P00000,255651
60S000701P00000,254226
75S026601P00000,253603
57S000101P00000,253420
01S006201P00000,252292
45I008101P00000,249466
02S001001P00000,247953
38I004001P00000,242193
01S006101P00000,241923
72S002901P00000,241320
63S011201P00000,240044
47I064001P00000,239711
71S013601P00000,239698
33L539501P00000,238053
54S003001P00000,234337
10S003701P00000,231187
89S000101P00000,229553
39I004001P00000,229462
75S010201P00000,228704
79L145001P00000,228300
53S007301P00000,226983
79L438501P00000,226321
47S007101P00000,225085
22S000101P00000,222471
45S003401P00000,222143
82S003601P00000,219091
71S011101P00000,218968
75S009901P00000,218492
23S000301P00000,217971
74I002401P00000,215778
78S006601P00000,215550
53I004001P00000,214993
02S001602P00000,214350
33S031701P00000,212470
74I002402P00000,211809
06S000201P00000,211481
79L282701P00000,211471
19L325801P00000,211251
22S004601P00000,210070
79L283001P00000,207616
60S005001P00000,207266
50S000601P00000,205603
79L281401P00000,204896
18S010101P00000,204272
57S002001P00000,203721
06S004001P00000,203424
63S004801P00000,202957
19L533301P00000,202850
79L513501P00000,202002
95L428501P00000,199584
79S020401P00000,199566
87S003301P00000,198228
67S011101P00000,197775
21S005601P00000,197542
18S000101P00000,196944
79L418301P00000,196766
93S011101P00000,196336
79L287101P00000,196294
79L080301P00000,193502
07S000901P00000,192780
33L355601P00000,192012
79L145601P00000,190432
19S006501P00000,190358
32S003201P00000,189288
28I006501P00000,188476
56S005201P00000,188099
79L281301P00000,187808
62I007501P00000,187803
53S000201P00000,187730
83S002501P00000,186694
16S000201P00000,184742
83S017401P00000,184255
07S006301P00000,183694
94S039701P00000,182805
78S007301P00000,181767
60I006501P00000,179890
33S032001P00000,179175
27S004301P00000,178981
83S004101P00000,177809
19L328901P00000,177391
74S001101P00000,176633
05I014001P00000,176631
39S002001P00000,175689
33S001701P00000,175384
89S005601P00000,174714
13S003201P00000,173824
71S002401P00000,173317
58S000201P00000,170745
76S002901P00000,170648
06S031101P00000,170118
83S025801P00000,169712
94S025301P00000,169009
62S003301P00000,168694
15S003201P00000,168579
75L140301P00000,167794
78I004001P00000,167616
57L087201P00000,166374
47L125201P00000,166071
79L282101P00000,165614
79S002301P00000,165576
77S000801P00000,163153
27S000501P00000,160465
05S003501P00000,159033
47L561501P00000,157250
75L105501P00000,156675
45S009201P00000,156558
73S005801P00000,156497
47L127701P00000,156110
79S038502P00000,156056
33L574701P00000,154432
71S013501P00000,154416
36S001501P00000,153025
19L325601P00000,152989
79L513101P00000,152026
79L145801P00000,151893
11I004001P00000,151702
94L322201P00000,151195
28S001101P00000,151176
59S005001P00000,150609
59S001101P00000,149383
06S007401P00000,148864
33L355201P00000,148734
79L284001P00000,147873
82S012601P00000,147858
24S001501P00000,146890
90S038101P00000,145182
47L377701P00000,143004
75S026801P00000,142782
79S027701P00000,142601
23S007801P00000,142540
40S007601P00000,142387
28S001501P00000,141992
47L377301P00000,141773
47L105301P00000,141678
60S024301P00000,141442
74S006501P00000,140053
08S000101P00000,139676
52S001001P00000,139256
79L145501P00000,139253
19L101101P00000,138867
28S000701P00000,138711
31I002401P00000,138604
19S038601P00000,138072
32S016001P00000,138043
47S015801P00000,137958
94S044101P00000,137315
95S017101P00000,136908
19S011201P00000,136601
47L125601P00000,136435
81S007601P00000,136346
47L113501P00000,135845
79I026904P00000,135508
27S007601P00000,134933
15S000901P00000,134427
29S000101P00000,133905
79L287801P00000,132354
26S001601P00000,132162
39S002201P00000,132147
16S001601P00000,131290
21S002601P00000,131188
79L282601P00000,130274
92S002201P00000,129749
79L280601P00000,129292
79L419101P00000,128455
23I015501P00000,127874
74S004901P00000,127502
13S003301P00000,127460
62S000201P00000,127154
49S000301P00000,125580
19S010001P00000,124945
89S005501P00000,124494
30S010701P00000,124292
55S001501P00000,124287
19L325701P00000,122499
26S001501P00000,121140
82L390301P00000,121098
12S000502P00000,120848
90S007501P00000,120692
19L325301P00000,120528
09S000101P00000,120361
75L335501P00000,120330
70S004001P00000,119931
11S004902P00000,119875
32L383601P00000,119861
93S000101P00000,119718
60L606701P00000,118920
94L607001P00000,118710
59I006501P00000,118159
75L336601P00000,116148
19L324201P00000,115842
18S039201P00000,115411
74S007601P00000,114183
33L354601P00000,114016
73S002901P00000,114012
47S016901P00000,113593
63S023601P00000,113086
94S024801P00000,112240
76S006301P00000,112214
41I004001P00000,111769
90S035401P00000,110976
19L329501P00000,110918
79L282201P00000,110369
43I004001P00000,110207
01S009501P00000,110163
94S010001P00000,109912
19L416901P00000,109069
66S018401P00000,107782
33L354201P00000,107589
03I004001P00000,107564
73S006101P00000,107559
27S036601P00000,107374
90S006701P00000,107084
33L112201P00000,106960
75L108401P00000,106816
09S002201P00000,106788
36S012801P00000,106522
35S001501P00000,106382
40S006901P00000,106266
79L282401P00000,106081
33S038901P00000,104550
82S039401P00000,104226
75L080001P00000,103977
30S007001P00000,103911
02S006401P00000,103852
75L105901P00000,103344
45S000901P00000,103288
09S007601P00000,103218
29S003201P00000,103177
54S000201P00000,103054
72S003001P00000,102448
41S010001P00000,102411
92S004301P00000,102394
17S002001P00000,102224
57L305301P00000,101355
47L482901P00000,101262
79L282801P00000,100981
19L496701P00000,100681
83S005201P00000,100343
53S007202P00000,100301
22S004801P00000,100157
32S034301P00000,100067
19L325001P00000,99768
19L101701P00000,99623
24I026902P00000,99546
23S021101P00000,99420
19L416701P00000,98941
78S044901P00000,98784
19S017101P00000,98585
90L399201P00000,97434
67S005201P00000,96771
43S000101P00000,95998
58S002701P00000,95442
79L282301P00000,94932
46S003401P00000,93912
32S006601P00000,93235
55S000501P00000,93140
71L101601P00000,92965
25S002801P00000,92951
26S043301P00000,92625
37S006601P00000,92594
79L280701P00000,92496
11S001201P00000,92458
79L284201P00000,91475
79L286301P00000,91451
05L381801P00000,91408
75L338101P00000,90364
54S003901P00000,89876
20S006901P00000,89724
19L325201P00000,89446
47L594701P00000,88395
90S003601P00000,88393
59S010601P00000,88331
38S000101P00000,88189
19L417001P00000,88122
22I084001P00000,88076
79L534501P00000,87904
95S014101P00000,87318
63S023701P00000,86988
79L080401P00000,86906
19L493801P00000,86123
05S033501P00000,86043
83L486901P00000,85889
19L493301P00000,85328
52S001501P00000,84740
15S003501P00000,84690
94I004001P00000,84274
10S009101P00000,84048
94S001102P00000,83574
47L377101P00000,83553
83S001101P00000,83512
19S001102P00000,83473
33L112601P00000,83320
92S043101P00000,83103
19L443501P00000,82658
59S037301P00000,81406
40S005401P00000,81143
90S009101P00000,81052
19L324101P00000,81034
95L136801P00000,79958
56S001001P00000,79945
95S026501P00000,79706
35S001801P00000,79272
33L441701P00000,78387
71L455801P00000,78108
79L501101P00000,77950
26S005001P00000,77632
79L286101P00000,77382
47S016801P00000,76980
06L115601P00000,76146
30S003501P00000,75260
19L324401P00000,75071
75L104601P00000,75032
41I004002P00000,74898
41I004003P00000,74898
79L502901P00000,74506
12S010001P00000,74411
19L416801P00000,74106
05L382001P00000,73588
19L492401P00000,73310
94L606901P00000,72499
94L474601P00000,72386
79L544301P00000,72258
33L359101P00000,72084
33L358901P00000,71989
90I008101P00000,71445
33L577101P00000,71350
38S005401P00000,71236
47S003401P00000,71092
65S002901P00000,70774
19L445101P00000,70636
11I002401P00000,70603
33L498701P00000,70494
05S033301P00000,70341
19L495901P00000,70281
72S006001P00000,70241
10S040001P00000,69955
94L607301P00000,69902
94S025201P00000,69877
79L287001P00000,69806
40S021801P00000,69365
89S038001P00000,69074
73S009501P00000,69040
33L140601P00000,67975
47L602401P00000,67605
57L087701P00000,67483
11S011201P00000,67023
41S004801P00000,66876
79L287901P00000,66602
66S000501P00000,66525
38S007601P00000,66513
36S006901P00000,65412
63S007601P00000,65274
22S023501P00000,65216
33L360301P00000,65091
09S0022E1P00000,65040
19L326201P00000,64968
50S001501P00000,64796
80S002501P00000,64577
75S000201P00000,64018
58S002801P00000,63951
33S011101P00000,63582
24I026904P00000,63442
63L097701P00000,63436
79L418701P00000,63063
47L483101P00000,62797
19L329201P00000,62725
90S008101P00000,62579
63L313601P00000,62507
57S004301P00000,61839
33L358801P00000,61794
23S010401P00000,61676
78S033801P00000,61407
53S000101P00000,61378
06L366001P00000,60820
19L324801P00000,60672
85S001001P00000,60268
20I004001P00000,60216
79L502501P00000,60024
79L500901P00000,59972
33L220701P00000,59881
05S016201P00000,59462
47L378901P00000,59265
47L128901P00000,59143
79L514801P00000,59088
33L360901P00000,58984
47L125401P00000,58977
18S002401P00000,58834
33S032101P00000,58717
10I002601P00000,58664
46S006701P00000,58588
33L540301P00000,58241
19L416101P00000,58200
47L482801P00000,58095
94L098401P00000,57816
52S005001P00000,57713
47L528901P00000,57495
23S002001P00000,57292
77S011101P00000,57286
05L381601P00000,57124
90L558401P00000,56994
47L112401P00000,56908
79L542601P00000,56784
94L552301P00000,56619
33L577001P00000,56195
02S008201P00000,55938
51S009901P00000,55179
60L483701P00000,54918
83L394301P00000,54890
06S031201P00000,54569
79L286701P00000,54417
84S005901P00000,54392
80S005301P00000,54276
47L128101P00000,54151
93S002601P00000,54064
45S003201P00000,53894
02I002401P00000,53878
79L401501P00000,53292
79L545501P00000,53067
14S005301P00000,53003
79S0003A1P00000,52929
03S039101P00000,52878
19L493201P00000,52608
03S006901P00000,52495
79L285001P00000,52463
33L540401P00000,52358
33L441801P00000,52324
50L569401P00000,52239
84S038401P00000,52216
66S043101P00000,52147
75L104901P00000,52063
54S030501P00000,51762
79L282001P00000,51595
30L134601P00000,51594
90L396001P00000,51569
01L374201P00000,51240
54L604801P00000,51200
79L217801P00000,51166
79L287201P00000,51101
95L105801P00000,51057
82S007501P00000,51031
58S015001P00000,50738
33I002401P00000,50413
62S032202P00000,50275
83L204101P00000,50255
13S006301P00000,50079
79L534601P00000,49960
47L483201P00000,49656
71S005601P00000,49500
19S025101P00000,49447
95L100601P00000,49270
79L282501P00000,49258
94L099201P00000,49250
70S003301P00000,49225
79L423301P00000,49207
44S005601P00000,49187
19L324501P00000,49006
06L364701P00000,48991
94S024601P00000,48802
79L286901P00000,48771
47L586301P00000,48705
04S002801P00000,48671
16L343401P00000,48483
47S063401P00000,48418
71L583001P00000,48390
79L575701P00000,48297
40S002201P00000,48220
33L498901P00000,48219
10L393801P00000,48049
63S014901P00000,47795
79S020501P00000,47754
01S017001P00000,47485
19S000601P0016F,47476
94L474001P00000,47151
82S035801P00000,47053
33L114701P00000,46887
79L080501P00000,46873
75L551301P00000,46821
60S024701P00000,46418
79I026902P00000,46376
47S033101P00000,46334
16S005301P00000,46331
79L515601P00000,46280
79L516101P00000,46246
33L357801P00000,46216
18S029801P00000,46100
24S005701P00000,46092
75L404401P00000,46077
33L597601P00000,46053
92L573201P00000,46048
65S006201P00000,46043
19L328701P00000,45987
23L143301P00000,45929
66S002201P00000,45837
33L358001P00000,45814
90L452101P00000,45772
19L324701P00000,45520
82L388901P00000,45396
33L414501P00000,45318
33L360201P00000,45214
19L484401P00000,45193
01L372301P00000,45182
16L342801P00000,45152
94L474501P00000,44934
71L440501P00000,44886
46S009101P00000,44841
19L100201P00000,44665
47L377801P00000,44644
33L497501P00000,44529
83L086101P00000,44515
79L507801P00000,44331
90L398201P00000,44133
94S0396A1P00000,44016
90L395701P00000,43910
22S004701P00000,43855
82S003701P00000,43725
11S011202P00000,43675
47L562401P00000,43516
50S024202P00000,43458
05L559201P00000,43425
63L312001P00000,42985
11S024901P00000,42896
91S001501P00000,42892
79L145301P00000,42865
75L104801P00000,42852
94I006501P0059C,42728
79I004001P012BD,42613
79L224701P00000,42504
57L476801P00000,42424
78L541101P00000,42369
90L398601P00000,42355
79L280001P00000,42336
90L395601P00000,42213
57L305001P00000,42190
83L609701P00000,42180
77S002801P00000,42059
84S001401P00000,41941
45S006601P00000,41920
40S0069C1P00000,41892
79L501201P00000,41891
19S017401P00000,41844
22S009601P00000,41724
75L106101P00000,41708
19I002401N0052F,41694
