table,geo,category,estimate,moe
commute_time,"Davidson County, TN",Total:,318422,3303.0
commute_time,"Davidson County, TN",Less than 5 minutes,5793,682.0
commute_time,"Davidson County, TN",5 to 9 minutes,24023,1076.0
commute_time,"Davidson County, TN",10 to 14 minutes,38440,1471.0
commute_time,"Davidson County, TN",15 to 19 minutes,52942,2021.0
commute_time,"Davidson County, TN",20 to 24 minutes,57815,2188.0
commute_time,"Davidson County, TN",25 to 29 minutes,27462,1577.0
commute_time,"Davidson County, TN",30 to 34 minutes,49111,1903.0
commute_time,"Davidson County, TN",35 to 39 minutes,12478,1170.0
commute_time,"Davidson County, TN",40 to 44 minutes,12299,1047.0
commute_time,"Davidson County, TN",45 to 59 minutes,22043,1464.0
commute_time,"Davidson County, TN",60 to 89 minutes,11962,1206.0
commute_time,"Davidson County, TN",90 or more minutes,4054,597.0
