,value
population_total,709846.0
housing_units_total,345026.0
occupied_total,314578.0
owner_occupied,168040.0
renter_occupied,146538.0
hh_total_for_veh,314578.0
hh_0_veh,20654.0
hh_1_veh,125618.0
hh_2_veh,115379.0
hh_3plus_veh,36709.0
workers_total,318422.0
gt_30min_commute,111947.0
mode_total,389602.0
drive_alone,266197.0
carpool,31850.0
public_transport,6260.0
walked,7315.0
bicycle,1180.0
worked_from_home,71180.0
drive_alone_share,0.6832536793958963
carpool_share,0.08175009368535069
public_transport_share,0.01606767932402811
walk_share,0.01877557096729483
bike_share,0.0030287318853599314
wfh_share,0.18269926745755924
zero_vehicle_share,0.06565621244969451
one_vehicle_share,0.39932226665564663
two_vehicle_share,0.36677390027274637
three_plus_vehicle_share,0.11669283929581853
owner_share,0.5341759436451373
renter_share,0.4658240563548627
