table,geo,category,estimate,moe
population,"Davidson County, TN",Total,709846,
housing,"Davidson County, TN",Total,345026,169.0
tenure,"Davidson County, TN",Total:,314578,1422.0
tenure,"Davidson County, TN",Owner occupied,168040,2113.0
tenure,"Davidson County, TN",Renter occupied,146538,2253.0
commute_time,"Davidson County, TN",Total:,318422,3303.0
commute_time,"Davidson County, TN",Less than 5 minutes,5793,682.0
commute_time,"Davidson County, TN",5 to 9 minutes,24023,1076.0
commute_time,"Davidson County, TN",10 to 14 minutes,38440,1471.0
commute_time,"Davidson County, TN",15 to 19 minutes,52942,2021.0
commute_time,"Davidson County, TN",20 to 24 minutes,57815,2188.0
commute_time,"Davidson County, TN",25 to 29 minutes,27462,1577.0
commute_time,"Davidson County, TN",30 to 34 minutes,49111,1903.0
commute_time,"Davidson County, TN",35 to 39 minutes,12478,1170.0
commute_time,"Davidson County, TN",40 to 44 minutes,12299,1047.0
commute_time,"Davidson County, TN",45 to 59 minutes,22043,1464.0
commute_time,"Davidson County, TN",60 to 89 minutes,11962,1206.0
commute_time,"Davidson County, TN",90 or more minutes,4054,597.0
transport_type,"Davidson County, TN",Total:,389602,2735.0
transport_type,"Davidson County, TN","Car, truck, or van:",298047,3507.0
transport_type,"Davidson County, TN",Drove alone,266197,3525.0
transport_type,"Davidson County, TN",Carpooled:,31850,1916.0
transport_type,"Davidson County, TN",In 2-person carpool,23986,1593.0
transport_type,"Davidson County, TN",In 3-person carpool,4788,927.0
transport_type,"Davidson County, TN",In 4-person carpool,1773,515.0
transport_type,"Davidson County, TN",In 5- or 6-person carpool,896,364.0
transport_type,"Davidson County, TN",In 7-or-more-person carpool,407,318.0
transport_type,"Davidson County, TN",Public transportation (excluding taxicab):,6260,802.0
transport_type,"Davidson County, TN",Bus,5954,815.0
transport_type,"Davidson County, TN",Subway or elevated rail,0,32.0
transport_type,"Davidson County, TN",Long-distance train or commuter rail,185,99.0
transport_type,"Davidson County, TN","Light rail, streetcar or trolley (carro público in Puerto Rico)",31,47.0
transport_type,"Davidson County, TN",Ferryboat,90,90.0
transport_type,"Davidson County, TN",Taxicab,1164,264.0
transport_type,"Davidson County, TN",Motorcycle,140,70.0
transport_type,"Davidson County, TN",Bicycle,1180,363.0
transport_type,"Davidson County, TN",Walked,7315,764.0
transport_type,"Davidson County, TN",Other means,4316,764.0
transport_type,"Davidson County, TN",Worked from home,71180,2369.0
vehicles,"Davidson County, TN",Total:,314578,1422.0
vehicles,"Davidson County, TN",No vehicle available,20654,1320.0
vehicles,"Davidson County, TN",1 vehicle available,125618,3116.0
vehicles,"Davidson County, TN",2 vehicles available,115379,2573.0
vehicles,"Davidson County, TN",3 vehicles available,36709,1771.0
vehicles,"Davidson County, TN",4 or more vehicles available,16218,1155.0
vehicles,"Davidson County, TN",1-person household:,115283,2749.0
vehicles,"Davidson County, TN",No vehicle available,13386,981.0
vehicles,"Davidson County, TN",1 vehicle available,85204,2757.0
vehicles,"Davidson County, TN",2 vehicles available,13501,1047.0
