,value
population_total,709846.0
housing_units_total,345026.0
occupied_total,314578.0
owner_occupied,168040.0
renter_occupied,146538.0
hh_total_for_veh,314578.0
hh_0_veh,20654.0
hh_1_veh,125618.0
hh_2_veh,115379.0
hh_3plus_veh,36709.0
workers_total,318422.0
gt_30min_commute,111947.0
mode_total,389602.0
drive_alone,266197.0
carpool,31850.0
public_transport,6260.0
walked,7315.0
bicycle,1180.0
worked_from_home,71180.0
unemployment_rate,
labor_participation,
poverty_rate,
hs_or_higher_share,
bachelors_plus_share,
grad_prof_plus_share,
