table,geo,category,estimate,moe
sex_by_age,"Davidson County, TN",Total:,709846,
sex_by_age,"Davidson County, TN",Male:,343591,97.0
sex_by_age,"Davidson County, TN",Under 5 years,23447,45.0
sex_by_age,"Davidson County, TN",5 to 9 years,20531,934.0
sex_by_age,"Davidson County, TN",10 to 14 years,19513,931.0
sex_by_age,"Davidson County, TN",15 to 17 years,11403,99.0
sex_by_age,"Davidson County, TN",18 and 19 years,9095,59.0
sex_by_age,"Davidson County, TN",20 years,3948,572.0
sex_by_age,"Davidson County, TN",21 years,3955,581.0
sex_by_age,"Davidson County, TN",22 to 24 years,15744,743.0
sex_by_age,"Davidson County, TN",25 to 29 years,34214,73.0
sex_by_age,"Davidson County, TN",30 to 34 years,34824,28.0
sex_by_age,"Davidson County, TN",35 to 39 years,28317,1044.0
sex_by_age,"Davidson County, TN",40 to 44 years,23044,1045.0
sex_by_age,"Davidson County, TN",45 to 49 years,20250,12.0
sex_by_age,"Davidson County, TN",50 to 54 years,19539,20.0
sex_by_age,"Davidson County, TN",55 to 59 years,19903,927.0
sex_by_age,"Davidson County, TN",60 and 61 years,7012,731.0
sex_by_age,"Davidson County, TN",62 to 64 years,10074,845.0
sex_by_age,"Davidson County, TN",65 and 66 years,6106,537.0
sex_by_age,"Davidson County, TN",67 to 69 years,8382,738.0
sex_by_age,"Davidson County, TN",70 to 74 years,11199,646.0
sex_by_age,"Davidson County, TN",75 to 79 years,6913,416.0
sex_by_age,"Davidson County, TN",80 to 84 years,3328,367.0
sex_by_age,"Davidson County, TN",85 years and over,2850,403.0
sex_by_age,"Davidson County, TN",Female:,366255,97.0
sex_by_age,"Davidson County, TN",Under 5 years,22961,38.0
sex_by_age,"Davidson County, TN",5 to 9 years,20025,881.0
sex_by_age,"Davidson County, TN",10 to 14 years,19103,882.0
sex_by_age,"Davidson County, TN",15 to 17 years,11127,66.0
sex_by_age,"Davidson County, TN",18 and 19 years,9153,45.0
sex_by_age,"Davidson County, TN",20 years,5184,643.0
sex_by_age,"Davidson County, TN",21 years,4817,689.0
sex_by_age,"Davidson County, TN",22 to 24 years,16568,741.0
sex_by_age,"Davidson County, TN",25 to 29 years,38345,67.0
sex_by_age,"Davidson County, TN",30 to 34 years,35897,47.0
sex_by_age,"Davidson County, TN",35 to 39 years,28191,1048.0
sex_by_age,"Davidson County, TN",40 to 44 years,22757,1045.0
sex_by_age,"Davidson County, TN",45 to 49 years,20042,23.0
sex_by_age,"Davidson County, TN",50 to 54 years,19871,54.0
sex_by_age,"Davidson County, TN",55 to 59 years,21333,878.0
sex_by_age,"Davidson County, TN",60 and 61 years,8093,643.0
sex_by_age,"Davidson County, TN",62 to 64 years,11413,966.0
sex_by_age,"Davidson County, TN",65 and 66 years,7766,692.0
sex_by_age,"Davidson County, TN",67 to 69 years,9711,636.0
sex_by_age,"Davidson County, TN",70 to 74 years,13455,771.0
sex_by_age,"Davidson County, TN",75 to 79 years,8466,621.0
sex_by_age,"Davidson County, TN",80 to 84 years,6027,504.0
sex_by_age,"Davidson County, TN",85 years and over,5950,621.0
