table,geo,category,estimate,moe
transport_type,"Davidson County, TN",Total:,389602,2735.0
transport_type,"Davidson County, TN","Car, truck, or van:",298047,3507.0
transport_type,"Davidson County, TN",Drove alone,266197,3525.0
transport_type,"Davidson County, TN",Carpooled:,31850,1916.0
transport_type,"Davidson County, TN",In 2-person carpool,23986,1593.0
transport_type,"Davidson County, TN",In 3-person carpool,4788,927.0
transport_type,"Davidson County, TN",In 4-person carpool,1773,515.0
transport_type,"Davidson County, TN",In 5- or 6-person carpool,896,364.0
transport_type,"Davidson County, TN",In 7-or-more-person carpool,407,318.0
transport_type,"Davidson County, TN",Public transportation (excluding taxicab):,6260,802.0
transport_type,"Davidson County, TN",Bus,5954,815.0
transport_type,"Davidson County, TN",Subway or elevated rail,0,32.0
transport_type,"Davidson County, TN",Long-distance train or commuter rail,185,99.0
transport_type,"Davidson County, TN","Light rail, streetcar or trolley (carro público in Puerto Rico)",31,47.0
transport_type,"Davidson County, TN",Ferryboat,90,90.0
transport_type,"Davidson County, TN",Taxicab,1164,264.0
transport_type,"Davidson County, TN",Motorcycle,140,70.0
transport_type,"Davidson County, TN",Bicycle,1180,363.0
transport_type,"Davidson County, TN",Walked,7315,764.0
transport_type,"Davidson County, TN",Other means,4316,764.0
transport_type,"Davidson County, TN",Worked from home,71180,2369.0
