table,geo,category,estimate,moe
vehicles,"Davidson County, TN",Total:,314578,1422.0
vehicles,"Davidson County, TN",No vehicle available,20654,1320.0
vehicles,"Davidson County, TN",1 vehicle available,125618,3116.0
vehicles,"Davidson County, TN",2 vehicles available,115379,2573.0
vehicles,"Davidson County, TN",3 vehicles available,36709,1771.0
vehicles,"Davidson County, TN",4 or more vehicles available,16218,1155.0
vehicles,"Davidson County, TN",1-person household:,115283,2749.0
vehicles,"Davidson County, TN",No vehicle available,13386,981.0
vehicles,"Davidson County, TN",1 vehicle available,85204,2757.0
vehicles,"Davidson County, TN",2 vehicles available,13501,1047.0
vehicles,"Davidson County, TN",3 vehicles available,2572,561.0
vehicles,"Davidson County, TN",4 or more vehicles available,620,257.0
vehicles,"Davidson County, TN",2-person household:,104365,2650.0
vehicles,"Davidson County, TN",No vehicle available,3610,661.0
vehicles,"Davidson County, TN",1 vehicle available,23835,1394.0
vehicles,"Davidson County, TN",2 vehicles available,62699,2334.0
vehicles,"Davidson County, TN",3 vehicles available,11091,856.0
vehicles,"Davidson County, TN",4 or more vehicles available,3130,424.0
vehicles,"Davidson County, TN",3-person household:,42607,1957.0
vehicles,"Davidson County, TN",No vehicle available,1521,368.0
vehicles,"Davidson County, TN",1 vehicle available,8314,959.0
vehicles,"Davidson County, TN",2 vehicles available,17740,1192.0
vehicles,"Davidson County, TN",3 vehicles available,11562,984.0
vehicles,"Davidson County, TN",4 or more vehicles available,3470,568.0
vehicles,"Davidson County, TN",4-or-more-person household:,52323,1987.0
vehicles,"Davidson County, TN",No vehicle available,2137,420.0
vehicles,"Davidson County, TN",1 vehicle available,8265,921.0
vehicles,"Davidson County, TN",2 vehicles available,21439,1360.0
vehicles,"Davidson County, TN",3 vehicles available,11484,940.0
vehicles,"Davidson County, TN",4 or more vehicles available,8998,866.0
